NPS_IN_count;NPS_IN_mean;NPS_IN_min;NPS_IN_max;DESIGN_MAX_PRESS_BAR_count;DESIGN_MAX_PRESS_BAR_mean;DESIGN_MAX_PRESS_BAR_min;DESIGN_MAX_PRESS_BAR_max;DESIGN_MIN_TEMP_NORM_count;DESIGN_MIN_TEMP_NORM_mean;DESIGN_MIN_TEMP_NORM_min;DESIGN_MIN_TEMP_NORM_max;OPER_NORM_TEMP_NORM_count;OPER_NORM_TEMP_NORM_mean;OPER_NORM_TEMP_NORM_min;OPER_NORM_TEMP_NORM_max;DESIGN_MAX_TEMP_NORM_count;DESIGN_MAX_TEMP_NORM_mean;DESIGN_MAX_TEMP_NORM_min;DESIGN_MAX_TEMP_NORM_max;TYPE_NORM <lambda>;VALVE_APP_NORM <lambda>;FLUID_CODE_NORM <lambda>
2198;3,546064604;0,25;14;2198;237,5690419;4,44325;605;2198;-44,37807097;-100;-20;2198;32,85714286;-100;84;2198;90,40263876;60;200;[1208  461  162];[628 592 347];[1174  731  193]
1023;14,285435;8;46;1023;57,50340806;4,44325;605;1023;-4,591397849;-50;38;1023;34,0801564;-46;96;1023;77,74389052;45;200;[503 304  75];[798  99  31];[197 178 157]
753;3,004648074;0,5;16;753;45,55164077;5,49325;149,01325;753;-41,54316069;-100;5;753;97,47277556;23;290;753;206,3984064;85;310;[485 136  50];[276 132 131];[314 213 130]
35;4,085714286;1;8;35;21274,12143;17010;31013,25;35;0,142857143;0;5;35;38,31428571;27;96;35;77,48571429;57;110;[14 11  4];[17 12  4];[21 13  1]
2871;2,950714037;0,25;10;2871;40,9824834;1,01325;605;2871;2,284569836;-20;40;2871;36,55729711;0;96;2871;78,32114246;12;200;[1539  574  257];[1275  740  340];[538 388 361]
