TAG;MODULE;PLANTGROUP;NPS_IN;DESIGN_MAX_PRESS_BAR;DESIGN_MIN_TEMP_NORM;OPER_NORM_TEMP_NORM;DESIGN_MAX_TEMP_NORM;TYPE_NORM;VALVE_APP_NORM;FLUID_CODE_NORM;CLUSTER_KMEANS;CLUSTER_DBSCAN
XV-5111008E;M-11B;5111;6;4,44325;15;30;60;BUTTERFLY (DOUBLE OFFSET);XV;DA;4;-1
XV-5115003;M-15;5115;3;6,86466;0;30;60;BALL;XV;W;4;0
XV-5124005;M-15;5124;3;6,86466;0;30;60;BALL;XV;W;4;0
XV-5133046;M-10B;5133;4;302,01325;0;35;115;BALL;XV;D;4;0
XV-5135003A;M-13;5135;6;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135003B;M-13;5135;6;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135003C;M-12;5135;6;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135003D;M-12;5135;6;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135004A;M-13;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135004B;M-13;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135004C;M-12;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135004D;M-12;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135008A;M-13;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135008C;M-12;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135008D;M-12;5135;1;53,9;-46;69;110;BALL;XV;FG;0;0
XV-5135025;M-07;5135;2;15,01325;-29;50;110;BALL;XV;FG;0;0
XV-5138502;POOP DECK;5138;1;20,01325;0;25;60;BALL;XV;D;4;0
XV-5252007A;ENGINE ROOM;5252;8;11,30725;32;32;52;BALL;XV;W;4;-1
XV-5252007B;ENGINE ROOM;5252;8;11,30725;32;32;52;BALL;XV;W;4;-1
XV-5252007C;ENGINE ROOM;5252;8;11,30725;32;32;52;BALL;XV;W;4;-1
XV-5252007D;ENGINE ROOM;5252;8;11,30725;32;32;52;BALL;XV;W;4;-1
XV-5252501;M-17;5252;1;8,12825;30;30;40;BALL;XV;W;4;0
XV-5330511;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;BWG;1;0
XV-5330514;ENGINE ROOM;5330;3;20,01325;0;30;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;4;-1
XV-5330515;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;1;0
XV-5330516A;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;SW;1;0
XV-5330516B;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;SW;1;0
XV-5330528;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;1;0
XV-5330529;ENGINE ROOM;5330;3;20,01325;0;30;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;4;-1
XV-5330531;ENGINE ROOM;5330;3;20,01325;0;30;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;4;-1
XV-5330541;ENGINE ROOM;5330;12;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;SW;1;0
XV-5330542;ENGINE ROOM;5330;12;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;SW;1;0
XV-5330560;ENGINE ROOM;5330;8;20,61325;0;25;60;BUTTERFLY (DOUBLE OFFSET);XV;BR;1;0
XV-5336003;MAIN DECK;5336;2;4,44325;15;30;60;BALL;XV;DA;4;0
XV-5412019;M-01;5412;2;5,49325;-46;23;200;BALL;XV;F;2;0
XV-5412020;M-01;5412;2;5,49325;38;25;200;BALL;XV;F;4;-1
XV-5412051;M-01;5412;2;15,01325;-29;50;110;BALL;XV;FG;0;0
XV-5423501A;LIFEBOAT PLATFORM;5423;1;20,01325;0;25;60;GATE VALVE;XV;D;4;-1
XV-5423501B;LIFEBOAT PLATFORM;5423;1;20,01325;0;25;60;GATE VALVE;XV;D;4;-1
XV-5423501C;LIFEBOAT PLATFORM;5423;1;20,01325;0;25;60;GATE VALVE;XV;D;4;-1
XV-5423501D;LIFEBOAT PLATFORM;5423;1;20,01325;0;25;60;GATE VALVE;XV;D;4;-1
XV-5424502-1;HELIDECK;5424;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);XV;FW;4;0
XV-5424502-2;HELIDECK;5424;1,25;1,01325;0;27;57;BALL;XV;FW;4;0
XV-5424503-1;HELIDECK;5424;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);XV;FW;4;0
XV-5424503-2;HELIDECK;5424;1,25;18,01325;0;27;57;BALL;XV;FW;4;0
XV-5424504-1;HELIDECK;5424;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);XV;FW;4;0
XV-5424504-2;HELIDECK;5424;1,25;18,01325;0;27;57;BALL;XV;FW;4;0
