TAG,PC1,PC2,CLUSTER_KMEANS,CLUSTER_DBSCAN,TYPE_NORM,VALVE_APP_NORM,FLUID_CODE_NORM
VALV-12310695,-0.31026473327226456,-1.14294781666873,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310696,-0.2674453087910099,-1.2640736129809373,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310697,-0.2674453087910099,-1.2640736129809373,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310698,-0.9525561004910833,0.6739391280143799,1.0,0,BALL,OTHER BLOCK,P
VALV-12310699,-0.21392102818944167,-1.4154808583711964,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310700,-0.21392102818944167,-1.4154808583711964,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310703,-0.24603559655038262,-1.324636511137041,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310706,-0.2674453087910099,-1.2640736129809373,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310710,2.128444229520509,-0.05078058090433731,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310711,2.128444229520509,-0.05078058090433731,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310713,2.128444229520509,-0.05078058090433731,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310715,0.0483421731123178,-1.019322828956837,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310716,0.0483421731123178,-1.019322828956837,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310717,0.005522748631063157,-0.8981970326446298,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310722,-0.4654909206627373,0.4341867267896509,1.0,0,CHECK,CHECK,P
VALV-12310725,-0.21392102818944167,-1.4154808583711964,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310726,-0.24603559655038262,-1.324636511137041,0.0,0,DOUBLE BALL,PSV BLOCK INLET,P
VALV-12310727,-0.21392102818944167,-1.4154808583711964,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310728,-0.2674453087910099,-1.2640736129809373,0.0,0,BALL,OTHER BLOCK,P
VALV-12310729,-0.2674453087910099,-1.2640736129809373,0.0,0,GLOBE,MANUAL CONTROL,P
VALV-12310734,2.7643322670685633,-1.6554275402538046,2.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310735,2.8178565476701314,-1.8068347856440639,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12310736,2.7643322670685633,-1.6554275402538046,2.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310737,2.8178565476701314,-1.8068347856440639,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12310751,-0.7449379027741713,0.7702469929852857,1.0,0,BUTTERFLY (DOUBLE OFFSET),OTHER BLOCK,W
VALV-12310754,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310756,-0.4666116436460164,-0.01707068304406197,4.0,0,BALL,INSTRUMENT BLOCK,W
VALV-12310758,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310759,-0.4666116436460164,-0.01707068304406197,4.0,0,BALL,INSTRUMENT BLOCK,W
VALV-12310777,0.5863689841560573,0.16874917744916865,4.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310778,0.6398932647576255,0.017341932058909475,4.0,0,BALL,DRAIN/UTILITY,F
VALV-12310779,0.5863689841560573,0.16874917744916865,4.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310780,0.6398932647576255,0.017341932058909475,4.0,0,BALL,DRAIN/UTILITY,F
VALV-12310789,2.128444229520509,-0.05078058090433731,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310790,2.128444229520509,-0.05078058090433731,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,P
VALV-12310801,2.085624805039254,0.0703452154078699,2.0,0,BALL,DRAIN/UTILITY,P
VALV-12310802,2.085624805039254,0.0703452154078699,2.0,0,BALL,DRAIN/UTILITY,P
VALV-12310805,2.085624805039254,0.0703452154078699,2.0,0,BALL,DRAIN/UTILITY,P
VALV-12310806,2.085624805039254,0.0703452154078699,2.0,0,BALL,DRAIN/UTILITY,P
VALV-12310809,-1.0516118025010655,0.924124682778492,1.0,0,BALL,OTHER BLOCK,P
VALV-12310811,-0.31026473327226456,-1.14294781666873,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310813,-1.0516118025010655,0.924124682778492,1.0,0,BALL,OTHER BLOCK,P
VALV-12310814,-1.0516118025010655,0.924124682778492,1.0,0,BALL,OTHER BLOCK,P
VALV-12310815,-0.25945244959785563,-1.3167025489973434,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310816,-0.7946952556135379,0.1973699049052481,1.0,0,BALL,OTHER BLOCK,P
VALV-12310833,0.8097382871720761,-0.2879288492039992,0.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310834,0.06325482235648147,-0.4153933009811201,0.0,0,GLOBE,MANUAL CONTROL,PC
VALV-12310835,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310836,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310837,1.0345402656986626,-0.9238392798430879,0.0,0,BALL,DRAIN/UTILITY,F
VALV-12310838,-0.022384026606027715,-0.17314170835670553,0.0,0,DOUBLE BALL,PSV BLOCK INLET,PC
VALV-12310839,0.8097382871720761,-0.2879288492039992,0.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310840,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310841,-0.022384026606027715,-0.17314170835670553,0.0,0,DOUBLE BALL,PSV BLOCK INLET,PC
VALV-12310842,1.0345402656986626,-0.9238392798430879,0.0,0,BALL,DRAIN/UTILITY,F
VALV-12310849,0.02043539787522687,-0.2942675046689128,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310853,0.02043539787522687,-0.2942675046689128,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310854,0.02043539787522687,-0.2942675046689128,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310856,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310857,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310858,0.08466453459710876,-0.4759561991372238,0.0,0,NEEDLE,MANUAL CONTROL,PC
VALV-12310859,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310860,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310863,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310864,0.08466453459710876,-0.4759561991372238,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310865,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
